Version,Date
1.5.00.12969,"Jun 4, 2022"
1.5.00.11163,"May 11, 2022"
1.5.00.9163,"Apr 20, 2022"
1.5.00.8070,"Mar 30, 2022"
1.5.00.5967,"Mar 11, 2022"
1.5.00.4689,"Feb 26, 2022"
1.5.00.2164,"Feb 12, 2022"
1.4.00.35564,"Jan 27, 2022"
1.4.00.32771,"Dec 16, 2021"
1.4.00.31569,"Dec 3, 2021"
1.4.00.29469,"Nov 5, 2021"
1.4.00.26376,"Oct 1, 2021"
1.4.00.22976,"Sep 24, 2021"
1.4.00.22472,"Aug 28, 2021"
1.4.00.19572,"Jul 27, 2021"
1.4.00.16575,"Jul 1, 2021"
1.4.00.11161,"May 18, 2021"
1.4.00.8872,"Apr 8, 2021"
1.4.00.7174,"Mar 25, 2021"
1.4.00.4167,"Feb 27, 2021"
1.4.00.2879,"Feb 6, 2021"
1.4.00.2781,"Jan 30, 2021"
1.3.00.34662,"Jan 23, 2021"
1.3.00.28779,"Nov 7, 2020"
1.3.00.26064,"Oct 14, 2020"
1.3.00.24755,"Sep 25, 2020"
1.3.00.21759,"Aug 22, 2020"
1.3.00.19173,"Jul 24, 2020"
1.3.00.13565,"Jun 4, 2020"
1.3.00.12058,"May 7, 2020"
1.3.00.8663,"Apr 16, 2020"
1.3.00.4461,"Mar 25, 2020"
1.3.00.3564,"Feb 29, 2020"
1.3.00.362,"Jan 31, 2020"
1.2.00.34161,"Dec 18, 2019"
1.2.00.27559,"Nov 5, 2019"
1.2.00.26774,"Oct 19, 2019"
1.2.00.24753,"Sep 20, 2019"
1.2.00.22654,"Sep 6, 2019"
1.2.00.21068,"Aug 21, 2019"
1.2.00.19260,"Aug 2, 2019"
1.2.00.17057,"Jul 3, 2019"
1.2.00.13765,"Jun 5, 2019"
1.2.00.8864,"Apr 18, 2019"
1.2.00.7161,"Apr 5, 2019"
1.2.00.4664,"Mar 7, 2019"
1.2.00.1758,"Jan 25, 2019"
1.1.00.31860,"Dec 9, 2018"
1.1.00.29068,"Nov 10, 2018"
1.1.00.28562,"Oct 30, 2018"
1.1.00.25457,"Oct 2, 2018"
1.1.00.24759,"Sep 13, 2018"
1.1.00.19257,"Aug 4, 2018"
1.1.00.18052,"Jul 13, 2018"
1.1.00.17553,"Jul 6, 2018"
1.1.00.16255,"Jun 23, 2018"
1.1.00.14359,"Jun 13, 2018"
1.1.00.13555,"May 18, 2018"
1.1.00.10955,"May 4, 2018"
1.1.00.8751,"Apr 12, 2018"
1.1.00.7855,"Apr 4, 2018"
1.1.00.5963,"Mar 16, 2018"
1.1.00.5855,"Mar 7, 2018"
1.1.00.2251,"Jan 31, 2018"
1.1.00.1155,"Jan 19, 2018"
1.1.00.252,"Jan 12, 2018"
1.0.00.34151,"Dec 15, 2017"
1.0.00.33658,"Dec 7, 2017"
1.0.00.31451,"Dec 1, 2017"
1.0.00.30452,"Nov 25, 2017"
1.0.00.28451,"Oct 18, 2017"
1.0.00.26863,"Oct 3, 2017"
1.0.00.25152,"Sep 16, 2017"
1.0.00.25151,"Sep 12, 2017"
1.0.00.24351,"Sep 9, 2017"
1.0.00.23451,"Sep 6, 2017"
1.0.00.22051,"Aug 15, 2017"
1.0.00.19451,"Jul 21, 2017"
1.0.00.17151,"Jul 7, 2017"
1.0.00.16451,"Jun 21, 2017"
1.0.00.15951,"Jun 16, 2017"
1.0.00.15151,"Jun 3, 2017"
1.0.00.14456,"May 31, 2017"
1.0.00.13751,"May 24, 2017"
1.0.00.13152,"May 13, 2017"
1.0.00.12451,"May 10, 2017"
1.0.00.10951,"Apr 30, 2017"
1.0.0.8201,"Apr 4, 2017"
1.0.0.6903,"Mar 21, 2017"
